timestamp,hourly_traffic_count
datetime,float
T,
2011-06-23 14:00:00,1488
2011-06-23 15:00:00,1799
2011-06-23 16:00:00,1834
2011-06-23 17:00:00,1950
2011-06-23 18:00:00,1468
2011-06-23 19:00:00,1057
2011-06-23 20:00:00,867
2011-06-23 21:00:00,753
2011-06-23 22:00:00,510
2011-06-23 23:00:00,408
2011-06-24 00:00:00,244
2011-06-24 01:00:00,157
2011-06-24 02:00:00,136
2011-06-24 03:00:00,97
2011-06-24 04:00:00,167
2011-06-24 05:00:00,282
2011-06-24 06:00:00,698
2011-06-24 07:00:00,1147
2011-06-24 08:00:00,1279
2011-06-24 09:00:00,1373
2011-06-24 10:00:00,1648
2011-06-24 11:00:00,1811
2011-06-24 12:00:00,2009
2011-06-24 13:00:00,2146
2011-06-24 14:00:00,2438
2011-06-24 15:00:00,2580
2011-06-24 16:00:00,2626
2011-06-24 17:00:00,2480
2011-06-24 18:00:00,2152
2011-06-24 19:00:00,1480
2011-06-24 20:00:00,1207
2011-06-24 21:00:00,1017
2011-06-24 22:00:00,776
2011-06-24 23:00:00,464
2011-06-25 00:00:00,320
2011-06-25 01:00:00,170
2011-06-25 02:00:00,141
2011-06-25 03:00:00,89
2011-06-25 04:00:00,130
2011-06-25 05:00:00,270
2011-06-25 06:00:00,384
2011-06-25 07:00:00,698
2011-06-25 08:00:00,1054
2011-06-25 09:00:00,1440
2011-06-25 10:00:00,1870
2011-06-25 11:00:00,2146
2011-06-25 12:00:00,2366
2011-06-25 13:00:00,2323
2011-06-25 14:00:00,2164
2011-06-25 15:00:00,2097
2011-06-25 16:00:00,1766
2011-06-25 17:00:00,1595
2011-06-25 18:00:00,1372
2011-06-25 19:00:00,1082
2011-06-25 20:00:00,867
2011-06-25 21:00:00,641
2011-06-25 22:00:00,561
2011-06-25 23:00:00,376
2011-06-26 00:00:00,232
2011-06-26 01:00:00,157
2011-06-26 02:00:00,110
2011-06-26 03:00:00,92
2011-06-26 04:00:00,104
2011-06-26 05:00:00,189
2011-06-26 06:00:00,457
2011-06-26 07:00:00,536
2011-06-26 08:00:00,925
2011-06-26 09:00:00,1453
2011-06-26 10:00:00,2006
2011-06-26 11:00:00,2135
2011-06-26 12:00:00,2168
2011-06-26 13:00:00,2201
2011-06-26 14:00:00,2123
2011-06-26 15:00:00,1983
2011-06-26 16:00:00,1796
2011-06-26 17:00:00,1541
2011-06-26 18:00:00,1455
2011-06-26 19:00:00,1147
2011-06-26 20:00:00,891
2011-06-26 21:00:00,696
2011-06-26 22:00:00,508
2011-06-26 23:00:00,296
2011-06-27 00:00:00,185
2011-06-27 01:00:00,110
2011-06-27 02:00:00,80
2011-06-27 03:00:00,104
2011-06-27 04:00:00,162
2011-06-27 05:00:00,368
2011-06-27 06:00:00,713
2011-06-27 07:00:00,1160
2011-06-27 08:00:00,1374
2011-06-27 09:00:00,1538
2011-06-27 10:00:00,1784
2011-06-27 11:00:00,1804
2011-06-27 12:00:00,1770
2011-06-27 13:00:00,1719
2011-06-27 14:00:00,1708
2011-06-27 15:00:00,1786
2011-06-27 16:00:00,1861
2011-06-27 17:00:00,1745
2011-06-27 18:00:00,1360
2011-06-27 19:00:00,887
2011-06-27 20:00:00,702
2011-06-27 21:00:00,552
2011-06-27 22:00:00,380
2011-06-27 23:00:00,393
2011-06-28 00:00:00,176
2011-06-28 01:00:00,90
2011-06-28 02:00:00,112
2011-06-28 03:00:00,110
2011-06-28 04:00:00,149
2011-06-28 05:00:00,347
2011-06-28 06:00:00,730
2011-06-28 07:00:00,1173
2011-06-28 08:00:00,1329
2011-06-28 09:00:00,1376
2011-06-28 10:00:00,1399
2011-06-28 11:00:00,1382
2011-06-28 12:00:00,1363
2011-06-28 13:00:00,1414
2011-06-28 14:00:00,1460
2011-06-28 15:00:00,1653
2011-06-28 16:00:00,1743
2011-06-28 17:00:00,1689
2011-06-28 18:00:00,1272
2011-06-28 19:00:00,829
2011-06-28 20:00:00,669
2011-06-28 21:00:00,533
2011-06-28 22:00:00,383
2011-06-28 23:00:00,277
2011-06-29 00:00:00,173
2011-06-29 01:00:00,106
2011-06-29 02:00:00,109
2011-06-29 03:00:00,116
2011-06-29 04:00:00,141
2011-06-29 05:00:00,337
2011-06-29 06:00:00,692
2011-06-29 07:00:00,1185
