jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1161,  125169,  completed,  eof,  2014-08-12 09:17:26,  2014-08-12 09:18:42,  76,  modelParams|sensorParams|encoders|hourly_traffic_count:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  5410,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  397.502235761,  18.5130855696, 
1161,  125260,  completed,  eof,  2014-08-12 09:17:26,  2014-08-12 09:18:14,  48,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  5410,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  635.874910368,  29.6149444409, 
1161,  125341,  completed,  eof,  2014-08-12 09:17:26,  2014-08-12 09:18:05,  39,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  5410,  None,  None,  0.05005,  11,  14,  6.25,  3,  None,  275,  0.05015,  344.427705618,  16.0412169115, 
1161,  125412,  completed,  eof,  2014-08-12 09:17:26,  2014-08-12 09:18:09,  43,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  5410,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  839.54338435,  39.1005058981, 
1161,  125473,  completed,  eof,  2014-08-12 09:17:27,  2014-08-12 09:18:12,  45,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  5410,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  504.384806229,  23.4909850503, 
1161,  125524,  completed,  eof,  2014-08-12 09:17:27,  2014-08-12 09:18:05,  38,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  5410,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  594.520280249,  27.6889129945, 
1161,  125565,  completed,  eof,  2014-08-12 09:17:27,  2014-08-12 09:18:08,  41,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  5410,  None,  None,  0.0001,  9,  12,  0.5,  1,  None,  28,  0.1,  405.586461267,  18.8895965552, 
1161,  125596,  completed,  eof,  2014-08-12 09:17:27,  2014-08-12 09:18:04,  37,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  5410,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  765.035157276,  35.6303941368, 
1161,  125617,  completed,  eof,  2014-08-12 09:17:27,  2014-08-12 09:19:22,  115,  modelParams|sensorParams|encoders|hourly_traffic_count:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  5410,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  424.418755898,  19.766683149, 
1161,  125628,  completed,  eof,  2014-08-12 09:17:28,  2014-08-12 09:18:40,  72,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  5410,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  1045.89525705,  48.711042728, 
1161,  125629,  completed,  eof,  2014-08-12 09:18:05,  2014-08-12 09:19:00,  55,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  5410,  None,  None,  0.1,  12,  16,  12.0,  5,  None,  521,  0.0003,  366.47885602,  17.0682170076, 
1161,  125630,  completed,  eof,  2014-08-12 09:18:05,  2014-08-12 09:18:58,  53,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  5410,  1,  None,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  895.870464724,  41.7238573287, 
1161,  125641,  completed,  eof,  2014-08-12 09:18:05,  2014-08-12 09:19:12,  67,  modelParams|sensorParams|encoders|hourly_traffic_count:n_147.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5410,  None,  147,  0.025075,  10,  13,  None,  2,  None,  151,  0.075075,  392.210324426,  18.2666225348, 
1161,  125642,  completed,  eof,  2014-08-12 09:18:08,  2014-08-12 09:18:52,  44,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5410,  None,  None,  0.025075,  10,  13,  None,  2,  4.75,  151,  0.075075,  529.374927123,  24.6548634009, 
1161,  125643,  completed,  eof,  2014-08-12 09:18:09,  2014-08-12 09:18:47,  38,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5410,  None,  None,  0.025075,  10,  13,  9.125,  2,  None,  151,  0.075075,  349.783146431,  16.2906387389, 
1161,  125644,  completed,  eof,  2014-08-12 09:18:12,  2014-08-12 09:18:53,  41,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  5410,  1,  None,  0.025075,  10,  13,  None,  2,  None,  151,  0.075075,  823.761270429,  38.3654770122, 
