jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1212,  167586,  completed,  eof,  2014-08-12 16:43:05,  2014-08-12 16:44:32,  87,  modelParams|sensorParams|encoders|hourly_traffic_count:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  6250,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  139.081438586,  28.0644334377, 
1212,  167595,  completed,  eof,  2014-08-12 16:43:05,  2014-08-12 16:44:01,  56,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  6250,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  167.283790328,  33.7552217362, 
1212,  167668,  completed,  eof,  2014-08-12 16:43:06,  2014-08-12 16:43:49,  43,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  6250,  None,  None,  0.05005,  11,  14,  6.25,  3,  None,  275,  0.05015,  98.0423355975,  19.7833918704, 
1212,  167739,  completed,  eof,  2014-08-12 16:43:06,  2014-08-12 16:43:56,  50,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  6250,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  287.356139892,  57.983921815, 
1212,  167800,  completed,  eof,  2014-08-12 16:43:07,  2014-08-12 16:44:01,  54,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  6250,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  277.569292361,  56.0090908536, 
1212,  167851,  completed,  eof,  2014-08-12 16:43:07,  2014-08-12 16:43:50,  43,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  6250,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  147.145843888,  29.6917028139, 
1212,  167892,  completed,  eof,  2014-08-12 16:43:07,  2014-08-12 16:43:53,  46,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  6250,  None,  None,  0.0001,  9,  12,  0.5,  1,  None,  28,  0.1,  111.074136815,  22.4130031368, 
1212,  167923,  completed,  eof,  2014-08-12 16:43:07,  2014-08-12 16:43:51,  44,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  6250,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  240.467027376,  48.5224408977, 
1212,  167944,  completed,  eof,  2014-08-12 16:43:07,  2014-08-12 16:45:15,  128,  modelParams|sensorParams|encoders|hourly_traffic_count:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  6250,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  137.288605556,  27.7026681026, 
1212,  167955,  completed,  eof,  2014-08-12 16:43:08,  2014-08-12 16:44:29,  81,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  6250,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  245.401896238,  49.5182193431, 
