jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1192,  151484,  completed,  eof,  2014-08-12 14:01:34,  2014-08-12 14:02:05,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.57364701549.modelParams|clParams|alpha_0.0443618849823.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_270.modelParams|spParams|synPermInactiveDec_0.0444140291377,  4808,  None,  None,  0.0443618849823,  11,  13,  3.57364701549,  2,  None,  270,  0.0444140291377,  11.272,  24.9446755776, 
1192,  151485,  completed,  eof,  2014-08-12 14:01:39,  2014-08-12 14:02:10,  31,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00117985665261.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0948262938139,  4808,  1,  None,  0.00117985665261,  9,  12,  None,  1,  None,  28,  0.0948262938139,  25.8153066502,  57.1286771936, 
1192,  151486,  completed,  eof,  2014-08-12 14:01:42,  2014-08-12 14:02:42,  60,  modelParams|sensorParams|encoders|hourly_traffic_count:n_74.modelParams|clParams|alpha_0.0119421477187.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_71.modelParams|spParams|synPermInactiveDec_0.0790815423738,  4808,  None,  74,  0.0119421477187,  10,  13,  None,  2,  None,  71,  0.0790815423738,  14.4585937126,  31.9965338422, 
1192,  151487,  completed,  eof,  2014-08-12 14:01:52,  2014-08-12 14:02:29,  37,  modelParams|clParams|alpha_0.00320447743435.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.16311518712.modelParams|sensorParams|encoders|_classifierInput|n_114.modelParams|spParams|synPermInactiveDec_0.0810764815551,  4808,  None,  None,  0.00320447743435,  10,  12,  None,  2,  4.16311518712,  114,  0.0810764815551,  27.1561335098,  60.095896056, 
1192,  151488,  completed,  eof,  2014-08-12 14:01:54,  2014-08-12 14:02:26,  32,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.5304625997.modelParams|clParams|alpha_0.0338692328107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_220.modelParams|spParams|synPermInactiveDec_0.0546518215115,  4808,  None,  None,  0.0338692328107,  11,  13,  4.5304625997,  2,  None,  220,  0.0546518215115,  11.015,  24.3759405152, 
1192,  151489,  completed,  eof,  2014-08-12 14:01:55,  2014-08-12 14:02:26,  31,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.000160081464511.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0884334204685,  4808,  1,  None,  0.000160081464511,  9,  12,  None,  1,  None,  28,  0.0884334204685,  26.9809017439,  59.7081122067, 
1192,  151490,  completed,  eof,  2014-08-12 14:01:59,  2014-08-12 14:02:59,  60,  modelParams|sensorParams|encoders|hourly_traffic_count:n_142.modelParams|clParams|alpha_0.0234623884468.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_126.modelParams|spParams|synPermInactiveDec_0.0679123898937,  4808,  None,  142,  0.0234623884468,  10,  14,  None,  2,  None,  126,  0.0679123898937,  16.7517621709,  37.0712626603, 
1192,  151491,  completed,  eof,  2014-08-12 14:02:04,  2014-08-12 14:02:41,  37,  modelParams|clParams|alpha_0.00869633917501.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.80304219771.modelParams|sensorParams|encoders|_classifierInput|n_145.modelParams|spParams|synPermInactiveDec_0.0768680116644,  4808,  None,  None,  0.00869633917501,  10,  13,  None,  2,  3.80304219771,  145,  0.0768680116644,  20.9975486206,  46.467089981, 
1192,  151492,  completed,  eof,  2014-08-12 14:02:05,  2014-08-12 14:02:36,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.20584331196.modelParams|clParams|alpha_0.0363050533879.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_239.modelParams|spParams|synPermInactiveDec_0.0504433516208,  4808,  None,  None,  0.0363050533879,  11,  13,  4.20584331196,  2,  None,  239,  0.0504433516208,  11.058,  24.4710985217, 
1192,  151493,  completed,  eof,  2014-08-12 14:02:11,  2014-08-12 14:02:42,  31,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00161043982524.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0893649379752,  4808,  1,  None,  0.00161043982524,  9,  12,  None,  1,  None,  28,  0.0893649379752,  25.5874220913,  56.6243739295, 
1192,  151494,  completed,  eof,  2014-08-12 14:02:12,  2014-08-12 14:03:11,  59,  modelParams|sensorParams|encoders|hourly_traffic_count:n_89.modelParams|clParams|alpha_0.0117614184878.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_40.modelParams|spParams|synPermInactiveDec_0.0843560057776,  4808,  None,  89,  0.0117614184878,  10,  13,  None,  2,  None,  40,  0.0843560057776,  13.8831437586,  30.7230763888, 
1192,  151495,  completed,  eof,  2014-08-12 14:02:25,  2014-08-12 14:03:04,  39,  modelParams|clParams|alpha_0.0167920695705.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.03767810166.modelParams|sensorParams|encoders|_classifierInput|n_178.modelParams|spParams|synPermInactiveDec_0.0714380232627,  4808,  None,  None,  0.0167920695705,  10,  13,  None,  2,  4.03767810166,  178,  0.0714380232627,  28.4754463332,  63.0155048534, 
1192,  151496,  completed,  eof,  2014-08-12 14:02:26,  2014-08-12 14:02:57,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.72003938214.modelParams|clParams|alpha_0.035808357528.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_221.modelParams|spParams|synPermInactiveDec_0.0521838559141,  4808,  None,  None,  0.035808357528,  11,  13,  4.72003938214,  2,  None,  221,  0.0521838559141,  11.226,  24.8428786403, 
1192,  151497,  completed,  eof,  2014-08-12 14:02:27,  2014-08-12 14:02:58,  31,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00392140755574.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0894650437465,  4808,  1,  None,  0.00392140755574,  9,  12,  None,  1,  None,  28,  0.0894650437465,  24.8979298782,  55.0985435917, 
1192,  151498,  completed,  eof,  2014-08-12 14:02:30,  2014-08-12 14:03:07,  37,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0921044089791,  4808,  None,  22,  0.0001,  9,  12,  None,  2,  None,  28,  0.0921044089791,  36.7801547634,  81.3936327418, 
1192,  151499,  completed,  eof,  2014-08-12 14:02:36,  2014-08-12 14:03:14,  38,  modelParams|clParams|alpha_0.0141300692181.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.90517926389.modelParams|sensorParams|encoders|_classifierInput|n_176.modelParams|spParams|synPermInactiveDec_0.0755904792221,  4808,  None,  None,  0.0141300692181,  10,  13,  None,  1,  3.90517926389,  176,  0.0755904792221,  24.2976363401,  53.7701078607, 
1192,  151500,  completed,  eof,  2014-08-12 14:02:41,  2014-08-12 14:03:11,  30,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.60120039905.modelParams|clParams|alpha_0.0277158155409.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_194.modelParams|spParams|synPermInactiveDec_0.0591738713884,  4808,  None,  None,  0.0277158155409,  11,  13,  3.60120039905,  2,  None,  194,  0.0591738713884,  11.1195579046,  24.6073247424, 
1192,  151501,  completed,  eof,  2014-08-12 14:02:42,  2014-08-12 14:03:14,  32,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0912754865358,  4808,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.0912754865358,  27.0658058612,  59.8960030566, 
1192,  151502,  completed,  eof,  2014-08-12 14:02:42,  2014-08-12 14:03:44,  62,  modelParams|sensorParams|encoders|hourly_traffic_count:n_65.modelParams|clParams|alpha_0.00801131092306.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_40.modelParams|spParams|synPermInactiveDec_0.0855400844679,  4808,  None,  65,  0.00801131092306,  10,  13,  None,  2,  None,  40,  0.0855400844679,  13.7327887034,  30.3903441254, 
1192,  151503,  completed,  eof,  2014-08-12 14:02:57,  2014-08-12 14:03:34,  37,  modelParams|clParams|alpha_0.0153625722525.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.78174783445.modelParams|sensorParams|encoders|_classifierInput|n_177.modelParams|spParams|synPermInactiveDec_0.0730960751826,  4808,  None,  None,  0.0153625722525,  10,  13,  None,  2,  3.78174783445,  177,  0.0730960751826,  21.869862939,  48.3975014141, 
