jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1168,  130937,  completed,  eof,  2014-08-12 10:24:13,  2014-08-12 10:24:36,  23,  modelParams|sensorParams|encoders|hourly_traffic_count:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1925,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  24.0626008074,  52.2463974452, 
1168,  131028,  completed,  eof,  2014-08-12 10:24:13,  2014-08-12 10:24:29,  16,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1925,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  33.9874732617,  73.7959728628, 
1168,  131109,  completed,  eof,  2014-08-12 10:24:13,  2014-08-12 10:24:26,  13,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1925,  None,  None,  0.05005,  11,  14,  6.25,  3,  None,  275,  0.05015,  22.4189128221,  48.6775074302, 
1168,  131180,  completed,  eof,  2014-08-12 10:24:13,  2014-08-12 10:24:28,  15,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1925,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  38.9140154857,  84.4928250079, 
1168,  131241,  completed,  eof,  2014-08-12 10:24:14,  2014-08-12 10:24:26,  12,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1925,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  32.7762338767,  71.1660454157, 
1168,  131292,  completed,  eof,  2014-08-12 10:24:14,  2014-08-12 10:24:28,  14,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1925,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  32.3623097014,  70.2673043716, 
1168,  131333,  completed,  eof,  2014-08-12 10:24:14,  2014-08-12 10:24:32,  18,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1925,  None,  None,  0.0001,  9,  12,  0.5,  1,  None,  28,  0.1,  28.7197248586,  62.3582700594, 
1168,  131364,  completed,  eof,  2014-08-12 10:24:14,  2014-08-12 10:24:27,  13,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1925,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  34.033222378,  73.8953065356, 
1168,  131385,  completed,  eof,  2014-08-12 10:24:15,  2014-08-12 10:24:46,  31,  modelParams|sensorParams|encoders|hourly_traffic_count:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1925,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  26.1109864328,  56.6939952075, 
1168,  131396,  completed,  eof,  2014-08-12 10:24:15,  2014-08-12 10:24:40,  25,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1925,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  39.1119524712,  84.9225995988, 
1168,  131397,  completed,  eof,  2014-08-12 10:24:26,  2014-08-12 10:24:43,  17,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1925,  None,  None,  0.1,  12,  16,  12.0,  5,  None,  521,  0.0003,  23.9813213189,  52.0699177499, 
1168,  131398,  completed,  eof,  2014-08-12 10:24:26,  2014-08-12 10:24:43,  17,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1925,  1,  None,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  39.1449680944,  84.994285423, 
1168,  131399,  completed,  eof,  2014-08-12 10:24:27,  2014-08-12 10:24:49,  22,  modelParams|sensorParams|encoders|hourly_traffic_count:n_147.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  1925,  None,  147,  0.025075,  10,  13,  None,  2,  None,  151,  0.075075,  24.4893563484,  53.1729988459, 
