jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=kw_energy_consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=kw_energy_consumption, 
1001,  1538,  completed,  eof,  2014-08-07 16:57:39,  2014-08-07 16:58:41,  62,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.91674357483.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_147.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  4391,  1,  5.91674357483,  0.025075,  10,  13,  2,  None,  147,  151,  0.075075,  7.20785727639,  20.650992678, 
1001,  1539,  completed,  eof,  2014-08-07 16:58:28,  2014-08-07 17:00:02,  94,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.39835097871.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|kw_energy_consumption:n_396.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  4391,  1,  6.39835097871,  0.075025,  11,  15,  4,  None,  396,  398,  0.025225,  8.77031956241,  25.1275515208, 
1001,  1540,  completed,  eof,  2014-08-07 16:58:41,  2014-08-07 16:59:43,  62,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.16398008838.modelParams|clParams|alpha_0.0324323474295.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_98.modelParams|sensorParams|encoders|_classifierInput|n_183.modelParams|spParams|synPermInactiveDec_0.0728772069983,  4391,  1,  6.16398008838,  0.0324323474295,  10,  13,  2,  None,  98,  183,  0.0728772069983,  6.19207630709,  17.7407123332, 
1001,  1541,  completed,  eof,  2014-08-07 16:58:55,  2014-08-07 17:00:04,  69,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.16398008838.modelParams|clParams|alpha_0.0277076525705.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_195.modelParams|sensorParams|encoders|_classifierInput|n_168.modelParams|spParams|synPermInactiveDec_0.0772727930017,  4391,  1,  6.16398008838,  0.0277076525705,  9,  13,  2,  None,  195,  168,  0.0772727930017,  7.94333838598,  22.7581951969, 
1001,  1542,  completed,  eof,  2014-08-07 16:59:43,  2014-08-07 17:00:45,  62,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.99798170159.modelParams|clParams|alpha_0.0381232677814.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_82.modelParams|sensorParams|encoders|_classifierInput|n_161.modelParams|spParams|synPermInactiveDec_0.068137972456,  4391,  1,  5.99798170159,  0.0381232677814,  10,  13,  2,  None,  82,  161,  0.068137972456,  6.58540816498,  18.8676343859, 
1001,  1543,  completed,  eof,  2014-08-07 17:00:02,  2014-08-07 17:01:13,  71,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.16172257093.modelParams|clParams|alpha_0.0234085729224.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_180.modelParams|sensorParams|encoders|_classifierInput|n_195.modelParams|spParams|synPermInactiveDec_0.0625635584595,  4391,  1,  6.16172257093,  0.0234085729224,  9,  13,  2,  None,  180,  195,  0.0625635584595,  7.51323778461,  21.5259282375, 
1001,  1544,  completed,  eof,  2014-08-07 17:00:05,  2014-08-07 17:01:16,  71,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.93828921677.modelParams|clParams|alpha_0.0405154342869.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_117.modelParams|sensorParams|encoders|_classifierInput|n_222.modelParams|spParams|synPermInactiveDec_0.0660965087478,  4391,  1,  5.93828921677,  0.0405154342869,  11,  13,  2,  None,  117,  222,  0.0660965087478,  6.82841662671,  19.563869865, 
1001,  1545,  completed,  eof,  2014-08-07 17:00:12,  2014-08-07 17:01:16,  64,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.99798170159.modelParams|clParams|alpha_0.0381232677814.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_82.modelParams|sensorParams|encoders|_classifierInput|n_161.modelParams|spParams|synPermInactiveDec_0.068137972456,  4391,  1,  5.99798170159,  0.0381232677814,  10,  13,  2,  None,  82,  161,  0.068137972456,  6.58540816498,  18.8676343859, 
1001,  1546,  completed,  eof,  2014-08-07 17:00:46,  2014-08-07 17:02:04,  78,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.38896821514.modelParams|clParams|alpha_0.0310362254929.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_203.modelParams|sensorParams|encoders|_classifierInput|n_187.modelParams|spParams|synPermInactiveDec_0.0697463514613,  4391,  1,  6.38896821514,  0.0310362254929,  10,  13,  2,  None,  203,  187,  0.0697463514613,  7.80093861953,  22.3502103519, 
1001,  1547,  completed,  eof,  2014-08-07 17:01:13,  2014-08-07 17:02:24,  71,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.93828921677.modelParams|clParams|alpha_0.0272936623041.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_97.modelParams|sensorParams|encoders|_classifierInput|n_157.modelParams|spParams|synPermInactiveDec_0.0801494361643,  4391,  1,  5.93828921677,  0.0272936623041,  10,  13,  2,  None,  97,  157,  0.0801494361643,  6.78671554035,  19.4443934664, 
