jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|sensorParams|encoders|hourly_traffic_count1:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|hourly_traffic_count2:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count1,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count1, 
1015,  4310,  completed,  eof,  2014-08-07 19:50:36,  2014-08-07 19:51:01,  25,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.60068967616.modelParams|sensorParams|encoders|hourly_traffic_count1:n_70.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1.modelParams|tpParams|pamLength_1,  1584,  None,  1.60068967616,  70,  0.0001,  9,  13,  22,  1,  None,  28,  0.1,  349.916257823,  9.67308904751, 
1015,  4311,  completed,  eof,  2014-08-07 19:50:36,  2014-08-07 19:51:05,  29,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.63837833265.modelParams|sensorParams|encoders|hourly_traffic_count1:n_25.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1.modelParams|tpParams|pamLength_1,  1584,  None,  1.63837833265,  25,  0.0001,  9,  13,  22,  1,  None,  28,  0.1,  398.350190926,  11.0119972501, 
1015,  4312,  completed,  eof,  2014-08-07 19:50:36,  2014-08-07 19:51:04,  28,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.55753546681.modelParams|sensorParams|encoders|hourly_traffic_count1:n_121.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_58.modelParams|spParams|synPermInactiveDec_0.0985177670392.modelParams|tpParams|pamLength_1,  1584,  None,  1.55753546681,  121,  0.0001,  9,  13,  22,  1,  None,  58,  0.0985177670392,  303.988493552,  8.40346140488, 
1015,  4313,  completed,  eof,  2014-08-07 19:50:41,  2014-08-07 19:51:17,  36,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.075.modelParams|sensorParams|encoders|hourly_traffic_count1:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|hourly_traffic_count2:n_272.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1584,  None,  1.075,  272,  0.05005,  11,  14,  272,  3,  3.5,  275,  0.05015,  468.803729544,  12.9596156803, 
1015,  4314,  completed,  killed,  2014-08-07 19:50:46,  2014-08-07 19:51:05,  19,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.71330124365.modelParams|sensorParams|encoders|hourly_traffic_count1:n_157.modelParams|clParams|alpha_0.000612148864772.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_71.modelParams|spParams|synPermInactiveDec_0.0946315999637.modelParams|tpParams|pamLength_1,  1000,  None,  1.71330124365,  157,  0.000612148864772,  9,  13,  22,  1,  None,  71,  0.0946315999637,  318.15191575,  8.73311953938, 
1015,  4315,  completed,  killed,  2014-08-07 19:50:53,  2014-08-07 19:51:05,  12,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.79236113703.modelParams|sensorParams|encoders|hourly_traffic_count1:n_137.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_68.modelParams|spParams|synPermInactiveDec_0.0973797923333.modelParams|tpParams|pamLength_1,  600,  None,  1.79236113703,  137,  0.0001,  9,  13,  22,  1,  None,  68,  0.0973797923333,  343.180546026,  9.47125438775, 
1015,  4316,  completed,  killed,  2014-08-07 19:51:01,  2014-08-07 19:51:06,  5,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.62417283451.modelParams|sensorParams|encoders|hourly_traffic_count1:n_126.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_56.modelParams|spParams|synPermInactiveDec_0.0990415149074.modelParams|tpParams|pamLength_1,  150,  None,  1.62417283451,  126,  0.0001,  9,  13,  22,  1,  None,  56,  0.0990415149074,  388.838569808,  11.0403825847, 
1015,  4317,  completed,  killed,  2014-08-07 19:51:04,  2014-08-07 19:51:07,  3,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.63324745851.modelParams|sensorParams|encoders|hourly_traffic_count1:n_146.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_65.modelParams|spParams|synPermInactiveDec_0.0981472087991.modelParams|tpParams|pamLength_1,  50,  None,  1.63324745851,  146,  0.0001,  9,  13,  22,  1,  None,  65,  0.0981472087991,  410.392427082,  11.9211719637, 
1015,  4318,  completed,  eof,  2014-08-07 19:51:05,  2014-08-07 19:51:39,  34,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.075.modelParams|sensorParams|encoders|hourly_traffic_count1:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1584,  None,  1.075,  22,  0.0001,  9,  12,  22,  1,  1.0,  28,  0.1,  528.415316072,  14.6075190625, 
1015,  4329,  completed,  eof,  2014-08-07 19:51:06,  2014-08-07 19:51:56,  50,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.075.modelParams|sensorParams|encoders|hourly_traffic_count1:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|sensorParams|encoders|hourly_traffic_count2:n_521.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1584,  None,  1.075,  521,  0.1,  12,  16,  521,  5,  6.0,  521,  0.0003,  576.900225481,  15.9478364547, 
