jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1073,  52755,  completed,  eof,  2014-08-08 14:28:21,  2014-08-08 14:28:35,  14,  modelParams|sensorParams|encoders|hourly_traffic_count:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1177,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  22.365,  38.2098681063, 
1073,  52804,  completed,  eof,  2014-08-08 14:28:21,  2014-08-08 14:28:31,  10,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1177,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  34.668,  59.2291396159, 
1073,  52837,  completed,  eof,  2014-08-08 14:28:21,  2014-08-08 14:28:30,  9,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1177,  None,  None,  0.05005,  11,  14,  6.25,  3,  None,  275,  0.05015,  17.829,  30.4602610538, 
1073,  52908,  completed,  eof,  2014-08-08 14:28:21,  2014-08-08 14:28:30,  9,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1177,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  43.885,  74.9760814597, 
1073,  52969,  completed,  eof,  2014-08-08 14:28:21,  2014-08-08 14:28:29,  8,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1177,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  49.7099839344,  84.9278752382, 
1073,  53020,  completed,  eof,  2014-08-08 14:28:22,  2014-08-08 14:28:31,  9,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1177,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  46.3258727523,  79.1462324067, 
1073,  53061,  completed,  eof,  2014-08-08 14:28:22,  2014-08-08 14:28:34,  12,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1177,  None,  None,  0.0001,  9,  12,  0.5,  1,  None,  28,  0.1,  17.1629799957,  29.3223877463, 
1073,  53092,  completed,  eof,  2014-08-08 14:28:22,  2014-08-08 14:28:30,  8,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1177,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  45.0642020064,  76.9907093665, 
1073,  53113,  completed,  eof,  2014-08-08 14:28:22,  2014-08-08 14:28:41,  19,  modelParams|sensorParams|encoders|hourly_traffic_count:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1177,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  23.452,  40.0669719128, 
1073,  53124,  completed,  eof,  2014-08-08 14:28:22,  2014-08-08 14:28:37,  15,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1177,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  43.11,  73.6520194082, 
